Id,NAME,OWNERSHIP,ADDRESS,CITY,STATE_HEADQUARTERED,ZIP,PHONE,AMOUNT_COVERED,AMOUNT_UNCOVERED,REVENUE,COVERED_ENCOUNTERS,UNCOVERED_ENCOUNTERS,COVERED_MEDICATIONS,UNCOVERED_MEDICATIONS,COVERED_PROCEDURES,UNCOVERED_PROCEDURES,COVERED_IMMUNIZATIONS,UNCOVERED_IMMUNIZATIONS,UNIQUE_CUSTOMERS,QOLS_AVG,MEMBER_MONTHS
a735bf55-83e9-331a-899d-a82a60b9f60c,Medicare,GOVERNMENT,,,,,,6928309.59,221859.99,847268.10,4138,0,5285,0,8232,0,517,0,27,0.6701487386528697,5196
df166300-5a78-3502-a46a-832842197811,Medicaid,GOVERNMENT,,,,,,19489760.82,396916.61,125230.00,5194,0,2250,0,11736,0,1536,0,59,0.9013229499746526,12708
d18ef2e6-ef40-324c-be54-34a5ee865625,Dual Eligible,GOVERNMENT,,,,,,1663453.94,30778.38,12780.00,626,0,548,0,1372,0,119,0,6,0.45655484378532957,1548
26aab0cd-6aba-3e1b-ac5b-05c8867e762c,Humana,PRIVATE,,,,,,6391686.55,3032417.10,2547558.00,2113,0,599,0,5279,0,898,0,23,0.966699321919168,7560
b046940f-1664-3047-bca7-dfa76be352a4,Blue Cross Blue Shield,PRIVATE,,,,,,2889077.27,657049.61,1485792.00,485,0,196,0,1235,0,244,0,32,0.27981205901980327,6312
d31fccc3-1767-390d-966a-22a5156f4219,UnitedHealthcare,PRIVATE,,,,,,1897596.00,516002.81,1211224.00,591,0,191,0,1526,0,292,0,8,0.9487701846961009,2460
0133f751-9229-3cfd-815f-b6d4979bdd6a,Aetna,PRIVATE,,,,,,1264452.58,920863.80,371841.13,759,0,521,0,1664,0,243,0,26,0.8939876632618224,2508
8fa6c185-e44e-3e34-8bd8-39be8694f4ce,Cigna Health,PRIVATE,,,,,,660799.49,589985.11,323385.47,536,0,395,0,1219,0,244,0,22,0.8513647230356601,2208
734afbd6-4794-363b-9bc0-6a3981533ed5,Anthem,PRIVATE,,,,,,2852814.16,563904.85,532629.41,1189,0,947,0,2102,0,186,0,25,0.8254103966183631,1728
e03e23c9-4df1-3eb6-a62d-f70f02301496,NO_INSURANCE,NO_INSURANCE,,,,,,0.00,15557182.83,0.00,0,5968,0,4131,0,12729,0,1801,48,0.9604093919722181,17484
