CLASS,DESCRIPTION,CODE,SYSTEM
allergy,Allergy to substance (finding),419199007,SNOMED-CT
allergy,Aspirin,1191,RXNORM
allergy,Fish (substance),735971005,SNOMED-CT
allergy,Latex (substance),111088007,SNOMED-CT
allergy,Bee venom (substance),288328004,SNOMED-CT
allergy,Mold (organism),84489001,SNOMED-CT
allergy,House dust mite (organism),260147004,SNOMED-CT
allergy,Animal dander (substance),264287008,SNOMED-CT
allergy,Grass pollen (substance),256277009,SNOMED-CT
allergy,Soy bean,256355007,SNOMED-CT
allergy,Tree nut (substance),442571000124108,SNOMED-CT
allergy,Tree pollen (substance),782576004,SNOMED-CT
allergy,Cow's milk (substance),3718001,SNOMED-CT
allergy,Eggs (edible) (substance),102263004,SNOMED-CT
allergy,Shellfish (substance),735029006,SNOMED-CT
allergy,Sulfamethoxazole / Trimethoprim,10831,RXNORM
allergy,Wheat (substance),412071004,SNOMED-CT
allergy,Peanut (substance),762952008,SNOMED-CT
allergy,Penicillin V,7984,RXNORM
allergy,Lisinopril,29046,RXNORM
allergy,cefdinir,25037,RXNORM
allergy,Ibuprofen,5640,RXNORM
careplan,Physiotherapy care plan (record artifact),773513001,SNOMED-CT
careplan,Fracture care,385691007,SNOMED-CT
careplan,Routine antenatal care,134435003,SNOMED-CT
careplan,Burn care,133901003,SNOMED-CT
careplan,Diabetes self management plan,698360004,SNOMED-CT
careplan,Respiratory therapy,53950000,SNOMED-CT
careplan,Lifestyle education regarding hypertension,443402002,SNOMED-CT
careplan,Wound care,225358003,SNOMED-CT
careplan,Asthma self management,699728000,SNOMED-CT
careplan,Head injury rehabilitation,47387005,SNOMED-CT
careplan,Infectious disease care plan (record artifact),736376001,SNOMED-CT
careplan,Self-care interventions (procedure),384758001,SNOMED-CT
careplan,Hyperlipidemia clinical management plan,736285004,SNOMED-CT
careplan,Care plan (record artifact),734163000,SNOMED-CT
careplan,Therapy (regime/therapy),276239002,SNOMED-CT
careplan,Cancer care plan,395082007,SNOMED-CT
careplan,Major surgery care management (procedure),737567002,SNOMED-CT
careplan,Skin condition care,711282006,SNOMED-CT
careplan,Weight management program,718361005,SNOMED-CT
careplan,Musculoskeletal care,408869004,SNOMED-CT
careplan,Minor surgery care management (procedure),737471002,SNOMED-CT
careplan,Urology care plan (record artifact),773593000,SNOMED-CT
careplan,Overactivity/inattention behavior management,386522008,SNOMED-CT
careplan,Dialysis care plan (record artifact),736690008,SNOMED-CT
careplan,Allergic disorder monitoring,170836005,SNOMED-CT
careplan,Discharge care plan (record artifact),736372004,SNOMED-CT
careplan,Heart failure self management plan,735984001,SNOMED-CT
careplan,Inpatient care plan (record artifact),736353004,SNOMED-CT
careplan,Dementia management,386257007,SNOMED-CT
careplan,Terminal care,182964004,SNOMED-CT
careplan,Care Plan,734163000,SNOMED-CT
careplan,Chronic obstructive pulmonary disease clinical management plan,412776001,SNOMED-CT
careplan,Surgical inpatient care plan (record artifact),735321000,SNOMED-CT
careplan,Mental health care plan,718347000,SNOMED-CT
careplan,Psychiatry care plan,736254008,SNOMED-CT
careplan,Major depressive disorder clinical management plan,737434004,SNOMED-CT
careplan,Medical care (regime/therapy),781087000,SNOMED-CT
careplan,Spinal cord injury rehabilitation,75162002,SNOMED-CT
careplan,Mental health care plan (record artifact),718347000,SNOMED-CT
careplan,Constipation Care (regime/therapy),389082000,SNOMED-CT
careplan,Agreeing on diabetes care plan,703040004,SNOMED-CT
careplan,Anti-suicide psychotherapy,183401008,SNOMED-CT
condition,Medication review due (situation),314529007,SNOMED-CT
condition,Sprain (morphologic abnormality),384709000,SNOMED-CT
condition,Sprain of ankle,44465007,SNOMED-CT
condition,Risk activity involvement (finding),160968000,SNOMED-CT
condition,Fracture of bone (disorder),125605004,SNOMED-CT
condition,Fracture subluxation of wrist,263102004,SNOMED-CT
condition,Housing unsatisfactory (finding),105531004,SNOMED-CT
condition,Received higher education (finding),224299000,SNOMED-CT
condition,Part-time employment (finding),160904001,SNOMED-CT
condition,Social isolation (finding),422650009,SNOMED-CT
condition,Stress (finding),73595000,SNOMED-CT
condition,Reports of violence in the environment (finding),424393004,SNOMED-CT
condition,Viral sinusitis (disorder),444814009,SNOMED-CT
condition,Full-time employment (finding),160903007,SNOMED-CT
condition,Normal pregnancy,72892002,SNOMED-CT
condition,Burn injury (morphologic abnormality),48333001,SNOMED-CT
condition,Second degree burn,403191005,SNOMED-CT
condition,Patient transfer to skilled nursing facility (procedure),25675004,SNOMED-CT
condition,Body mass index 30+ - obesity (finding),162864005,SNOMED-CT
condition,Received certificate of high school equivalency (finding),5251000175109,SNOMED-CT
condition,Prediabetes,15777000,SNOMED-CT
condition,Anemia (disorder),271737000,SNOMED-CT
condition,Limited social contact (finding),423315002,SNOMED-CT
condition,Not in labor force (finding),741062008,SNOMED-CT
condition,Miscarriage in first trimester,19169002,SNOMED-CT
condition,Victim of intimate partner abuse (finding),706893006,SNOMED-CT
condition,Essential hypertension (disorder),59621000,SNOMED-CT
condition,Diabetes mellitus type 2 (disorder),44054006,SNOMED-CT
condition,Laceration - injury (disorder),312608009,SNOMED-CT
condition,Laceration of thigh,283385000,SNOMED-CT
condition,Hypertriglyceridemia (disorder),302870006,SNOMED-CT
condition,Metabolic syndrome X (disorder),237602007,SNOMED-CT
condition,Acute bacterial sinusitis (disorder),75498004,SNOMED-CT
condition,Chronic sinusitis (disorder),40055000,SNOMED-CT
condition,Blighted ovum,35999006,SNOMED-CT
condition,Acute viral pharyngitis (disorder),195662009,SNOMED-CT
condition,Malignant neoplasm of breast (disorder),254837009,SNOMED-CT
condition,Childhood asthma,233678006,SNOMED-CT
condition,Concussion injury of brain (disorder),110030002,SNOMED-CT
condition,Concussion with no loss of consciousness,62106007,SNOMED-CT
condition,Acute bronchitis (disorder),10509002,SNOMED-CT
